,wikidata,country,bathwateridentifier,status,eionet
529,Q106707503,se,SE0441282000000411,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441282000000411
530,Q106707504,se,SE0441282000000412,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441282000000412
531,Q106707507,se,SE0441282000000416,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441282000000416
532,Q106707508,se,SE0441293000000417,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441293000000417
533,Q106707505,se,SE0441282000000414,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441282000000414
534,Q106707509,se,SE0441293000000419,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441293000000419
535,Q106707510,se,SE0441293000000420,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441293000000420
536,Q106707511,se,SE0441293000000421,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441293000000421
537,Q106707506,se,SE0441282000000415,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441282000000415
538,Q106707513,se,SE0441293000000423,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441293000000423
539,Q106707514,se,SE0441293000000424,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441293000000424
540,Q106707516,se,SE0441293000000426,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441293000000426
541,Q106707512,se,SE0441293000000422,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441293000000422
542,Q106707517,se,SE0441293000000427,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441293000000427
